OID_,OID1,Grid,ORIG_FID,LAT,LON
25708,,BE1,25708,52.142959699999999,-160.528581959999997
7259,,EP153,7259,52.190841390000003,-132.648375799999997
25709,,BE2,25709,52.207491509999997,-160.405765739999993
7466,,EO151,7466,52.208339729999999,-133.000208920000006
7053,,EQ156,7053,52.210755740000003,-132.150288399999994
25917,,BD1,25917,52.222956279999998,-160.627722680000005
6434,,ET164,6434,52.223526120000002,-130.801777479999998
7673,,EN149,7673,52.224990480000002,-133.352236089999991
6847,,ER159,6847,52.228969939999999,-131.651894260000006
7260,,EP154,7260,52.229458110000003,-132.502092489999995
6228,,EU167,6228,52.237130250000000,-130.302952559999994
7880,,EM147,7880,52.240792700000000,-133.704447789999989
6641,,ES162,6641,52.245481929999997,-131.153220549999986
7467,,EO152,7467,52.247313460000001,-132.854104350000000
7054,,EQ157,7054,52.248876699999997,-132.003649870000004
6435,,ET165,6435,52.260289810000003,-130.654294499999992
7674,,EN150,7674,52.264320750000003,-133.206314480000003
6848,,ER160,6848,52.266593280000002,-131.504908169999993
7261,,EP155,7261,52.267937080000003,-132.355626940000008
24879,,BI8,24879,52.269547109999998,-159.271108510000005
25710,,BE3,25710,52.271945170000002,-160.282693480000006
6229,,EU168,6229,52.273391900000000,-130.155143449999997
7881,,EM148,7881,52.280479040000003,-133.558713369999992
6642,,ES163,6642,52.282605830000001,-131.005894630000000
7468,,EO153,7468,52.286149989999998,-132.707816030000004
25087,,BH7,25087,52.286744450000000,-159.492991679999989
7055,,EQ158,7055,52.286859000000000,-131.856830959999996
25918,,BD2,25918,52.287603320000002,-160.504851040000005
8088,,EL146,8088,52.295787390000001,-133.911291479999988
6436,,ET166,6436,52.296912530000000,-130.506636570000012
26126,,BC1,26126,52.302924590000003,-160.727119840000000
7675,,EN151,7675,52.303514409999998,-133.060207639999987
25295,,BG6,25295,52.303606029999997,-159.714997009999990
6849,,ER161,6849,52.304077069999998,-131.357743620000008
7262,,EP156,7262,52.306277940000001,-132.208979499999998
6230,,EU169,6230,52.309511739999998,-130.007161380000014
8295,,EK144,8295,52.310244949999998,-134.264039220000001
24672,,BJ10,24672,52.315333619999997,-158.924788909999990
6643,,ES164,6643,52.319589319999999,-130.858392199999997
7882,,EM149,7882,52.320029339999998,-133.412792249999995
25503,,BF5,25503,52.320131480000001,-159.937122149999993
6024,,EV172,6024,52.320402010000002,-129.507496529999997
7056,,EQ159,7056,52.324702299999998,-131.709832059999997
7469,,EO154,7469,52.324849000000000,-132.561344319999989
24880,,BI9,24880,52.333062439999999,-159.146739529999991
6437,,ET167,6437,52.333393960000002,-130.358804099999986
8089,,EL147,8089,52.335693849999998,-133.765560310000012
25711,,BE4,25711,52.336320430000001,-160.159364790000012
6850,,ER162,6850,52.341420980000002,-131.210400990000011
7676,,EN152,7676,52.342571110000002,-132.913915919999994
7263,,EP157,7263,52.344480359999999,-132.062150540000005
6231,,EU170,6231,52.345489430000001,-129.859006770000008
25088,,BH8,25088,52.350455590000003,-159.368816189999990
8296,,EK145,8296,52.350507039999997,-134.118502229999990
25919,,BD3,25919,52.352172510000003,-160.381722580000002
6025,,EV173,6025,52.355874329999999,-129.359027749999996
6644,,ES165,6644,52.356432040000001,-130.710713650000002
7883,,EM150,7883,52.359443280000001,-133.266684770000012
24465,,BK12,24465,52.360310060000003,-158.577960890000014
7057,,EQ160,7057,52.362406270000001,-131.562653540000014
7470,,EO155,7470,52.363410129999998,-132.414689570000007
8503,,EJ143,8503,52.364468070000001,-134.471608390000000
25296,,BG7,25296,52.367512660000003,-159.591016599999989
26127,,BC2,26127,52.367687369999999,-160.604193170000002
6438,,ET168,6438,52.369733770000003,-130.210797490000004
8090,,EL148,8090,52.375464530000002,-133.619641309999992
24673,,BJ11,24673,52.378571160000000,-158.799972980000007
6851,,ER163,6851,52.378624660000000,-131.062880669999998
6232,,EU171,6232,52.381324650000003,-129.710680040000000
7677,,EN153,7677,52.381490520000000,-132.767439650000000
7264,,EP158,7264,52.382544009999997,-131.915140409999992
26335,,BB1,26335,52.382864650000002,-160.826774199999988
25504,,BF6,25504,52.384233270000003,-159.813338410000000
8297,,EK146,8297,52.390633960000002,-133.972775939999991
6026,,EV174,6026,52.391203339999997,-129.210388899999998
6645,,ES166,6645,52.393133669999997,-130.562859370000012
24881,,BI10,24881,52.396496659999997,-159.022115039999989
7884,,EM151,7884,52.398720500000003,-133.120391250000011
7058,,EQ161,7058,52.399970560000000,-131.415295759999992
25712,,BE5,25712,52.400617040000000,-160.035779289999994
7471,,EO156,7471,52.401833050000000,-132.267852129999994
24258,,BL14,24258,52.404474020000002,-158.230632579999991
8504,,EJ144,8504,52.404950700000001,-134.326079039999996
6439,,ET169,6439,52.405931629999998,-130.062617160000002
25089,,BH9,25089,52.414086159999997,-159.244384760000003
8091,,EL149,8091,52.415099089999998,-133.473534790000002
6852,,ER164,6852,52.415687790000000,-130.915183049999996
25920,,BD4,25920,52.416663600000000,-160.258336899999989
6233,,EU172,6233,52.417017070000000,-129.562181619999990
8711,,EI142,8711,52.418413909999998,-134.679540949999989
7678,,EN154,7678,52.420272279999999,-132.620779190000007
7265,,EP159,7265,52.420468540000002,-131.767949490000007
24466,,BK13,24466,52.423268139999998,-158.452700160000006
6027,,EV175,6027,52.426388719999999,-129.061580420000013
6646,,ES167,6646,52.429693870000001,-130.414829770000011
8298,,EK147,8298,52.430625360000001,-133.826860680000010
25297,,BG8,25297,52.431339270000002,-159.466779819999999
26128,,BC3,26128,52.432372600000001,-160.481008889999998
7059,,EQ162,7059,52.437394849999997,-131.267759130000002
7885,,EM152,7885,52.437860669999999,-132.973912039999988
7472,,EO157,7472,52.440117420000000,-132.120832360000009
24674,,BJ12,24674,52.441726770000002,-158.674901640000002
6440,,ET170,6440,52.441987200000000,-129.914263519999992
8505,,EJ145,8505,52.445298399999999,-134.180359259999989
26336,,BB2,26336,52.447743670000001,-160.703792889999988
25505,,BF7,25505,52.448255580000001,-159.689297869999990
6234,,EU173,6234,52.452566370000000,-129.413511929999999
6853,,ER165,6853,52.452610020000002,-130.767308520000000
8092,,EL150,8092,52.454597190000001,-133.327241100000009
7266,,EP160,7266,52.458253610000000,-131.620578150000000
7679,,EN155,7679,52.458916070000001,-132.473934880000002
8712,,EI143,8712,52.459117390000003,-134.534020889999994
24882,,BI11,24882,52.459849490000003,-158.897234700000013
6028,,EV176,6028,52.461430129999997,-128.912602749999991
26544,,BA1,26544,52.462776470000001,-160.926686549999999
25713,,BE6,25713,52.464834730000000,-159.911936590000010
6647,,ES168,6647,52.466112320000001,-130.266625260000012
24259,,BL15,24259,52.467150969999999,-158.104929239999990
8299,,EK148,8299,52.470480889999997,-133.680756760000008
8919,,EH141,8919,52.472081520000003,-134.887835870000004
7060,,EQ163,7060,52.474678779999998,-131.120044009999987
7886,,EM153,7886,52.476863440000002,-132.827247470000003
25090,,BH10,25090,52.477635900000003,-159.119697029999998
6441,,ET171,6441,52.477900159999997,-129.765736980000014
7473,,EO158,7473,52.478262890000003,-131.973630640000010
25921,,BD5,25921,52.481076340000001,-160.134693620000007
8506,,EJ146,8506,52.485510849999997,-134.034449380000012
24467,,BK14,24467,52.486143470000002,-158.327184130000006
6235,,EU174,6235,52.487972200000002,-129.264671410000005
6854,,ER166,6854,52.489391040000001,-130.619257489999995
8093,,EL151,8093,52.493958470000003,-133.180760550000002
25298,,BG9,25298,52.495085600000003,-159.342286300000012
7267,,EP161,7267,52.495898889999999,-131.473026769999990
6029,,EV177,6029,52.496327260000001,-128.763456319999989
26129,,BC4,26129,52.496980030000003,-160.357566609999992
7680,,EN156,7680,52.497421539999998,-132.326907080000012
8713,,EI144,8713,52.499686210000000,-134.388309279999987
6648,,ES169,6648,52.502388670000002,-130.118246249999999
24675,,BJ13,24675,52.504800179999997,-158.549574530000001
8300,,EK149,8300,52.510200200000000,-133.534464509999992
24052,,BM17,24052,52.510217259999997,-157.756668490000010
7061,,EQ164,7061,52.511822039999998,-130.972150800000009
25506,,BF8,25506,52.512198179999999,-159.565000179999998
26337,,BB3,26337,52.512545449999998,-160.580553199999997
8920,,EH142,8920,52.513006160000003,-134.742326759999997
6442,,ET172,6442,52.513670169999997,-129.617037990000000
7887,,EM154,7887,52.515728469999999,-132.680397900000003
7474,,EO159,7474,52.516269139999999,-131.826247330000001
24883,,BI12,24883,52.523120679999998,-158.772098139999997
6236,,EU175,6236,52.523234240000001,-129.115660490000010
9127,,EG140,9127,52.525469909999998,-135.096492100000006
8507,,EJ147,8507,52.525587690000002,-133.888349690000013
6855,,ER167,6855,52.526030489999997,-130.471030359999986
26545,,BA2,26545,52.527772239999997,-160.803651010000010
25714,,BE7,25714,52.528973260000001,-159.787836309999989
24260,,BL16,24260,52.529744350000001,-157.978970739999994
8094,,EL152,8094,52.533182609999997,-133.034093500000012
7268,,EP162,7268,52.533404040000001,-131.325295740000001
7681,,EN157,7681,52.535788349999997,-132.179696150000012
6649,,ES170,6649,52.538522589999999,-129.969693150000012
8714,,EI145,8714,52.540120039999998,-134.242406410000001
25091,,BH11,25091,52.541104550000000,-158.994752640000002
