OID_,OID1,OID1_1,Grid,ORIG_FID,LAT,LON
204,,,IX204,204,22.758042530000001,-79.330316440000004
203,,,IX203,203,22.775847079999998,-79.434784949999994
202,,,IX202,202,22.793539620000001,-79.539293920000006
201,,,IX201,201,22.811120129999999,-79.643843129999993
200,,,IX200,200,22.828588560000000,-79.748432339999994
527,,,IW205,527,22.840868069999999,-79.207245619999995
199,,,IX199,199,22.845944870000000,-79.853061310000001
526,,,IW204,526,22.858797520000000,-79.311784669999994
525,,,IW203,525,22.876614940000000,-79.416364549999997
524,,,IW202,524,22.894320300000000,-79.520985030000006
523,,,IW201,523,22.911913550000001,-79.625645870000000
850,,,IV206,850,22.923514180000002,-79.083952220000000
522,,,IW200,522,22.929394649999999,-79.730346839999996
849,,,IV205,849,22.941568690000000,-79.188561559999997
521,,,IW199,521,22.946763560000001,-79.835087720000004
848,,,IV204,848,22.959511150000001,-79.293212080000004
520,,,IW198,520,22.964020240000000,-79.939868259999997
847,,,IV203,847,22.977341520000000,-79.397903560000003
846,,,IV202,846,22.995059749999999,-79.502635769999998
1173,,,IU207,1173,23.005980699999999,-78.960436060000006
845,,,IV201,845,23.012665810000001,-79.607408480000004
1172,,,IU206,1172,23.024160429999998,-79.065115410000004
844,,,IV200,844,23.030159650000002,-79.712221450000001
1171,,,IU205,1171,23.042228099999999,-79.169836309999994
843,,,IV199,843,23.047541230000000,-79.817074450000007
1170,,,IU204,1170,23.060183640000002,-79.274598530000006
842,,,IV198,842,23.064810510000001,-79.921967249999994
1169,,,IU203,1169,23.078027020000000,-79.379401840000000
1496,,,IT208,1496,23.088267470000002,-78.836696959999998
1168,,,IU202,1168,23.095758199999999,-79.484246020000000
1495,,,IT207,1495,23.106572600000000,-78.941446049999996
1167,,,IU201,1167,23.113377130000000,-79.589130819999994
1494,,,IT206,1494,23.124765629999999,-79.046237050000002
1166,,,IU200,1166,23.130883780000001,-79.694056020000005
1493,,,IT205,1493,23.142846509999998,-79.151069739999997
1165,,,IU199,1165,23.148278090000002,-79.799021379999999
1492,,,IT204,1492,23.160815199999998,-79.255943889999998
1164,,,IU198,1164,23.165560050000000,-79.904026680000001
1819,,,IS209,1819,23.170374360000000,-78.712734729999994
1491,,,IT203,1491,23.178671670000000,-79.360859259999998
1163,,,IU197,1163,23.182729580000000,-80.009071669999997
1818,,,IS208,1818,23.188805039999998,-78.817553279999998
1490,,,IT202,1490,23.196415859999998,-79.465815629999994
1817,,,IS207,1817,23.207123599999999,-78.922414119999999
1489,,,IT201,1489,23.214047730000001,-79.570812759999995
1816,,,IS206,1816,23.225329980000001,-79.027316999999996
1488,,,IT200,1488,23.231567250000001,-79.675850429999997
1815,,,IS205,1815,23.243424149999999,-79.132261720000002
1487,,,IT199,1487,23.248974380000000,-79.780928380000006
2142,,,IR210,2142,23.252301190000001,-78.588549200000003
1814,,,IS204,1814,23.261406059999999,-79.237248019999996
1486,,,IT198,1486,23.266269059999999,-79.886046399999998
2141,,,IR209,2141,23.270857589999999,-78.693436930000004
1813,,,IS203,1813,23.279275680000001,-79.342275689999994
1485,,,IT197,1485,23.283451260000000,-79.991204249999996
2140,,,IR208,2140,23.289301840000000,-78.798367319999997
1812,,,IS202,1812,23.297032949999998,-79.447344490000006
2139,,,IR207,2139,23.307633890000002,-78.903340130000004
1811,,,IS201,1811,23.314677840000002,-79.552454179999998
2138,,,IR206,2138,23.325853710000001,-79.008355129999998
1810,,,IS200,1810,23.332210300000000,-79.657604539999994
2465,,,IQ211,2465,23.334047810000001,-78.464140169999993
2137,,,IR205,2137,23.343961230000001,-79.113412100000005
1809,,,IS199,1809,23.349630290000000,-79.762795319999995
2464,,,IQ210,2464,23.352730099999999,-78.569096810000005
2136,,,IR204,2136,23.361956440000000,-79.218510789999996
1808,,,IS198,1808,23.366937770000000,-79.868026299999997
2463,,,IQ209,2463,23.371300210000001,-78.674096480000003
2135,,,IR203,2135,23.379839270000002,-79.323650990000004
1807,,,IS197,1807,23.384132699999999,-79.973297239999994
2462,,,IQ208,2462,23.389758090000001,-78.779138930000002
2134,,,IR202,2134,23.397609689999999,-79.428832439999994
1806,,,IS196,1806,23.401215040000000,-80.078607899999994
2461,,,IQ207,2461,23.408103709999999,-78.884223950000006
2133,,,IR201,2133,23.415267660000001,-79.534054929999996
2460,,,IQ206,2460,23.426337019999998,-78.989351299999996
2132,,,IR200,2132,23.432813130000000,-79.639318220000007
2787,,,IP211,2787,23.434422399999999,-78.444532749999993
2459,,,IQ205,2459,23.444457979999999,-79.094520750000001
2131,,,IR199,2131,23.450246060000001,-79.744622070000005
2786,,,IP210,2786,23.453118530000001,-78.549601400000000
2458,,,IQ204,2458,23.462466540000001,-79.199732069999996
2130,,,IR198,2130,23.467566410000000,-79.849966240000001
2785,,,IP209,2785,23.471702420000000,-78.654713229999999
2457,,,IQ203,2457,23.480362660000001,-79.304985020000004
2129,,,IR197,2129,23.484774130000002,-79.955350510000002
2784,,,IP208,2784,23.490174010000000,-78.759867979999996
2456,,,IQ202,2456,23.498146299999998,-79.410279369999998
2128,,,IR196,2128,23.501869190000001,-80.060774629999997
2783,,,IP207,2783,23.508533270000001,-78.865065439999995
2455,,,IQ201,2455,23.515817410000000,-79.515614889999995
3110,,,IO212,3110,23.515934340000001,-78.319744560000004
2782,,,IP206,2782,23.526780140000000,-78.970305370000005
2454,,,IQ200,2454,23.533375960000001,-79.620991340000003
3109,,,IO211,3109,23.534756659999999,-78.424881920000004
2781,,,IP205,2781,23.544914599999998,-79.075587530000007
2453,,,IQ199,2453,23.550821890000002,-79.726408480000003
3108,,,IO210,3108,23.553466709999999,-78.530062830000006
2780,,,IP204,2780,23.562936590000000,-79.180911710000004
2452,,,IQ198,2452,23.568155180000002,-79.831866090000005
3107,,,IO209,3107,23.572064439999998,-78.635287039999994
2779,,,IP203,2779,23.580846070000000,-79.286277650000002
2451,,,IQ197,2451,23.585375760000002,-79.937363919999996
3106,,,IO208,3106,23.590549809999999,-78.740554329999995
2778,,,IP202,2778,23.598642989999998,-79.391685129999999
2450,,,IQ196,2450,23.602483610000000,-80.042901729999997
3105,,,IO207,3105,23.608922770000000,-78.845864460000001
3432,,,IN212,3432,23.616214419999999,-78.299937860000000
2777,,,IP201,2777,23.616327320000000,-79.497133910000002
2449,,,IQ195,2449,23.619478690000001,-80.148479289999997
3104,,,IO206,3104,23.627183290000001,-78.951217200000002
2776,,,IP200,2776,23.633899010000000,-79.602623760000000
3431,,,IN211,3431,23.635050799999998,-78.405187569999995
3103,,,IO205,3103,23.645331310000000,-79.056612310000006
2775,,,IP199,2775,23.651358020000000,-79.708154440000001
3430,,,IN210,3430,23.653774830000000,-78.510480950000002
3102,,,IO204,3102,23.663366799999999,-79.162049569999994
2774,,,IP198,2774,23.668704300000002,-79.813725710000000
3429,,,IN209,3429,23.672386480000000,-78.615817780000000
3101,,,IO203,3101,23.681289700000001,-79.267528740000003
2773,,,IP197,2773,23.685937809999999,-79.919337339999998
3428,,,IN208,3428,23.690885699999999,-78.721197829999994
3755,,,IM213,3755,23.697491650000000,-78.174769040000001
3100,,,IO202,3100,23.699099980000000,-79.373049589999994
2772,,,IP196,2772,23.703058519999999,-80.024989090000005
3427,,,IN207,3427,23.709272450000000,-78.826620860000006
3754,,,IM212,3754,23.716454519999999,-78.280087260000002
3099,,,IO201,3099,23.716797600000000,-79.478611869999995
2771,,,IP195,2771,23.720066379999999,-80.130680709999993
3426,,,IN206,3426,23.727546669999999,-78.932086650000002
3098,,,IO200,3098,23.734382499999999,-79.584215349999994
3753,,,IM211,3753,23.735305029999999,-78.385449530000002
3425,,,IN205,3425,23.745708329999999,-79.037594949999999
3097,,,IO199,3097,23.751854640000001,-79.689859799999994
3752,,,IM210,3752,23.754043129999999,-78.490855620000005
3424,,,IN204,3424,23.763757389999999,-79.143145529999998
3096,,,IO198,3096,23.769213990000001,-79.795544980000003
3751,,,IM209,3751,23.772668769999999,-78.596305299999997
3423,,,IN203,3423,23.781693789999999,-79.248738160000002
3095,,,IO197,3095,23.786460510000001,-79.901270640000007
3750,,,IM208,3750,23.791181909999999,-78.701798350000004
4077,,,IL213,4077,23.797677719999999,-78.154761730000004
3422,,,IN202,3422,23.799517489999999,-79.354372609999999
3094,,,IO196,3094,23.803594130000000,-80.007036560000003
3749,,,IM207,3749,23.809582509999998,-78.807334519999998
4076,,,IL212,4076,23.816654870000001,-78.260192590000003
3421,,,IN201,3421,23.817228459999999,-79.460048619999995
3093,,,IO195,3093,23.820614840000001,-80.112842490000006
3748,,,IM206,3748,23.827870510000000,-78.912913579999994
3420,,,IN200,3420,23.834826639999999,-79.565765979999995
