OID_,OID1,OID1_1,Grid,ORIG_FID,LAT,LON
204,,,IX204,204,22.758042530000001,-79.330316440000004
203,,,IX203,203,22.775847079999998,-79.434784949999994
202,,,IX202,202,22.793539620000001,-79.539293920000006
201,,,IX201,201,22.811120129999999,-79.643843129999993
200,,,IX200,200,22.828588560000000,-79.748432339999994
527,,,IW205,527,22.840868069999999,-79.207245619999995
199,,,IX199,199,22.845944870000000,-79.853061310000001
526,,,IW204,526,22.858797520000000,-79.311784669999994
198,,,IX198,198,22.863189020000000,-79.957729830000005
525,,,IW203,525,22.876614940000000,-79.416364549999997
197,,,IX197,197,22.880320959999999,-80.062437660000001
524,,,IW202,524,22.894320300000000,-79.520985030000006
196,,,IX196,196,22.897340669999998,-80.167184570000003
523,,,IW201,523,22.911913550000001,-79.625645870000000
195,,,IX195,195,22.914248099999998,-80.271970319999994
850,,,IV206,850,22.923514180000002,-79.083952220000000
522,,,IW200,522,22.929394649999999,-79.730346839999996
194,,,IX194,194,22.931043209999999,-80.376794680000003
849,,,IV205,849,22.941568690000000,-79.188561559999997
521,,,IW199,521,22.946763560000001,-79.835087720000004
193,,,IX193,193,22.947725960000000,-80.481657420000005
848,,,IV204,848,22.959511150000001,-79.293212080000004
520,,,IW198,520,22.964020240000000,-79.939868259999997
192,,,IX192,192,22.964296310000002,-80.586558299999993
847,,,IV203,847,22.977341520000000,-79.397903560000003
191,,,IX191,191,22.980754229999999,-80.691497080000005
519,,,IW197,519,22.981164660000001,-80.044688249999993
846,,,IV202,846,22.995059749999999,-79.502635769999998
190,,,IX190,190,22.997099670000001,-80.796473539999994
518,,,IW196,518,22.998196759999999,-80.149547440000006
1173,,,IU207,1173,23.005980699999999,-78.960436060000006
845,,,IV201,845,23.012665810000001,-79.607408480000004
189,,,IX189,189,23.013332590000001,-80.901487439999997
517,,,IW195,517,23.015116509999999,-80.254445599999997
1172,,,IU206,1172,23.024160429999998,-79.065115410000004
188,,,IX188,188,23.029452960000000,-81.006538530000000
844,,,IV200,844,23.030159650000002,-79.712221450000001
516,,,IW194,516,23.031923880000001,-80.359382490000002
1171,,,IU205,1171,23.042228099999999,-79.169836309999994
187,,,IX187,187,23.045460739999999,-81.111626590000000
843,,,IV199,843,23.047541230000000,-79.817074450000007
515,,,IW193,515,23.048618810000001,-80.464357899999996
1170,,,IU204,1170,23.060183640000002,-79.274598530000006
186,,,IX186,186,23.061355890000002,-81.216751369999997
842,,,IV198,842,23.064810510000001,-79.921967249999994
514,,,IW192,514,23.065201280000000,-80.569371559999993
185,,,IX185,185,23.077138380000001,-81.321912639999994
1169,,,IU203,1169,23.078027020000000,-79.379401840000000
513,,,IW191,513,23.081671230000001,-80.674423270000005
841,,,IV197,841,23.081967460000001,-80.026899630000003
1496,,,IT208,1496,23.088267470000002,-78.836696959999998
184,,,IX184,184,23.092808160000001,-81.427110159999998
1168,,,IU202,1168,23.095758199999999,-79.484246020000000
512,,,IW190,512,23.098028639999999,-80.779512760000003
840,,,IV196,840,23.099012020000000,-80.131871329999996
1495,,,IT207,1495,23.106572600000000,-78.941446049999996
183,,,IX183,183,23.108365190000001,-81.532343679999997
1167,,,IU201,1167,23.113377130000000,-79.589130819999994
511,,,IW189,511,23.114273470000001,-80.884639820000004
839,,,IV195,839,23.115944160000002,-80.236882140000006
182,,,IX182,182,23.123809450000000,-81.637612980000000
1494,,,IT206,1494,23.124765629999999,-79.046237050000002
510,,,IW188,510,23.130405669999998,-80.989804199999995
1166,,,IU200,1166,23.130883780000001,-79.694056020000005
838,,,IV194,838,23.132763850000000,-80.341931810000005
181,,,IX181,181,23.139140890000000,-81.742917800000001
1493,,,IT205,1493,23.142846509999998,-79.151069739999997
509,,,IW187,509,23.146425199999999,-81.095005659999998
1165,,,IU199,1165,23.148278090000002,-79.799021379999999
837,,,IV193,837,23.149471030000001,-80.447020109999997
180,,,IX180,180,23.154359490000001,-81.848257910000001
1492,,,IT204,1492,23.160815199999998,-79.255943889999998
508,,,IW186,508,23.162332039999999,-81.200243970000002
1164,,,IU198,1164,23.165560050000000,-79.904026680000001
836,,,IV192,836,23.166065669999998,-80.552146800000003
179,,,IX179,179,23.169465190000000,-81.953633069999995
507,,,IW185,507,23.178126129999999,-81.305518879999994
1491,,,IT203,1491,23.178671670000000,-79.360859259999998
835,,,IV191,835,23.182547730000000,-80.657311649999997
1163,,,IU197,1163,23.182729580000000,-80.009071669999997
178,,,IX178,178,23.184457960000000,-82.059043029999998
506,,,IW184,506,23.193807450000001,-81.410830169999997
1490,,,IT202,1490,23.196415859999998,-79.465815629999994
834,,,IV190,834,23.198917179999999,-80.762514420000002
177,,,IX177,177,23.199337770000000,-82.164487559999998
1162,,,IU196,1162,23.199786670000002,-80.114156129999998
1817,,,IS207,1817,23.207123599999999,-78.922414119999999
505,,,IW183,505,23.209375949999998,-81.516177580000004
1489,,,IT201,1489,23.214047730000001,-79.570812759999995
176,,,IX176,176,23.214104590000002,-82.269966400000001
833,,,IV189,833,23.215173960000001,-80.867754880000007
1161,,,IU195,1161,23.216731270000000,-80.219279810000003
504,,,IW182,504,23.224831600000002,-81.621560869999996
1816,,,IS206,1816,23.225329980000001,-79.027316999999996
175,,,IX175,175,23.228758370000001,-82.375479319999997
832,,,IV188,832,23.231318049999999,-80.973032779999997
1488,,,IT200,1488,23.231567250000001,-79.675850429999997
1160,,,IU194,1160,23.233563340000000,-80.324442489999996
503,,,IW181,503,23.240174360000001,-81.726979819999997
174,,,IX174,174,23.243299090000001,-82.481026080000007
1815,,,IS205,1815,23.243424149999999,-79.132261720000002
831,,,IV187,831,23.247349410000002,-81.078347879999995
1487,,,IT199,1487,23.248974380000000,-79.780928380000006
1159,,,IU193,1159,23.250282830000000,-80.429643920000004
502,,,IW180,502,23.255404200000001,-81.832434169999999
173,,,IX173,173,23.257726699999999,-82.586606419999995
1814,,,IS204,1814,23.261406059999999,-79.237248019999996
830,,,IV186,830,23.263267989999999,-81.183699959999998
1486,,,IT198,1486,23.266269059999999,-79.886046399999998
1158,,,IU192,1158,23.266889720000002,-80.534883879999995
501,,,IW179,501,23.270521070000001,-81.937923679999997
172,,,IX172,172,23.272041170000001,-82.692220109999994
829,,,IV185,829,23.279073749999998,-81.289088759999999
1813,,,IS203,1813,23.279275680000001,-79.342275689999994
1157,,,IU191,1157,23.283383950000001,-80.640162119999999
1485,,,IT197,1485,23.283451260000000,-79.991204249999996
500,,,IW178,500,23.285524939999998,-82.043448110000000
171,,,IX171,171,23.286242470000001,-82.797866900000002
828,,,IV184,828,23.294766670000001,-81.394514049999998
1812,,,IS202,1812,23.297032949999998,-79.447344490000006
1156,,,IU190,1156,23.299765489999999,-80.745478399999996
170,,,IX170,170,23.300330559999999,-82.903546539999994
499,,,IW177,499,23.300415780000002,-82.149007220000001
1484,,,IT196,1484,23.300520939999998,-80.096401689999993
827,,,IV183,827,23.310346700000000,-81.499975579999997
169,,,IX169,169,23.314305409999999,-83.009258779999996
1811,,,IS201,1811,23.314677840000002,-79.552454179999998
498,,,IW176,498,23.315193539999999,-82.254600760000002
1155,,,IU189,1155,23.316034299999998,-80.850832490000002
1483,,,IT195,1483,23.317478059999999,-80.201638489999993
826,,,IV182,826,23.325813799999999,-81.605473129999993
2138,,,IR206,2138,23.325853710000001,-79.008355129999998
168,,,IX168,168,23.328166979999999,-83.115003389999998
497,,,IW175,497,23.329858200000000,-82.360228489999997
1154,,,IU188,1154,23.332190340000000,-80.956224149999997
1810,,,IS200,1810,23.332210300000000,-79.657604539999994
1482,,,IT194,1482,23.334322579999998,-80.306914410000005
825,,,IV181,825,23.341167939999998,-81.711006429999998
167,,,IX167,167,23.341915239999999,-83.220780110000007
2137,,,IR205,2137,23.343961230000001,-79.113412100000005
496,,,IW174,496,23.344409710000001,-82.465890169999994
1153,,,IU187,1153,23.348233579999999,-81.061653140000004
1809,,,IS199,1809,23.349630290000000,-79.762795319999995
1481,,,IT193,1481,23.351054449999999,-80.412229220000000
166,,,IX166,166,23.355550160000000,-83.326588700000002
824,,,IV180,824,23.356409079999999,-81.816575259999993
495,,,IW173,495,23.358848040000002,-82.571585549999995
2136,,,IR204,2136,23.361956440000000,-79.218510789999996
1152,,,IU186,1152,23.364163959999999,-81.167119220000004
1808,,,IS198,1808,23.366937770000000,-79.868026299999997
1480,,,IT192,1480,23.367673640000000,-80.517582669999996
165,,,IX165,165,23.369071699999999,-83.432428900000005
823,,,IV179,823,23.371537180000001,-81.922179369999995
494,,,IW172,494,23.373173160000000,-82.677314379999999
2135,,,IR203,2135,23.379839270000002,-79.323650990000004
1151,,,IU185,1151,23.379981460000000,-81.272622150000004
