OID_,OID1,OID1_1,Grid,ORIG_FID,LAT,LON
35,,,GP35,35,30.821370930000000,-120.151853189999997
36,,,GP36,36,30.846443610000001,-120.039108749999997
103,,,GO33,103,30.867560900000001,-120.406694549999997
37,,,GP37,37,30.871400170000001,-119.926295130000000
104,,,GO34,104,30.892890569999999,-120.293964840000001
38,,,GP38,38,30.896240530000000,-119.813412560000003
105,,,GO35,105,30.918104199999998,-120.181165190000002
39,,,GP39,39,30.920964590000001,-119.700461320000002
172,,,GN32,172,30.938746460000001,-120.549109759999993
106,,,GO36,106,30.943201720000001,-120.068295849999998
40,,,GP40,40,30.945572280000000,-119.587441639999994
173,,,GN33,173,30.964217280000000,-120.436325819999993
107,,,GO37,107,30.968183020000001,-119.955357079999999
41,,,GP41,41,30.970063509999999,-119.474353800000003
240,,,GM30,240,30.984010479999998,-120.804540320000001
174,,,GN34,174,30.989572060000000,-120.323471440000006
108,,,GO38,108,30.993048040000001,-119.842349130000002
42,,,GP42,42,30.994438200000001,-119.361198049999999
241,,,GM31,241,31.009738590000001,-120.691773830000002
175,,,GN35,175,31.014810730000001,-120.210546879999995
109,,,GO39,109,31.017796690000001,-119.729272260000002
43,,,GP43,43,31.018696270000000,-119.247974659999997
242,,,GM32,242,31.035350739999998,-120.578936150000004
176,,,GN36,176,31.039933189999999,-120.097552390000004
110,,,GO40,110,31.042428869999998,-119.616126730000005
44,,,GP44,44,31.042837630000001,-119.134683870000003
309,,,GL29,309,31.054667320000000,-120.947506000000004
243,,,GM33,243,31.060846869999999,-120.466027530000005
177,,,GN37,177,31.064939360000000,-119.984488220000003
45,,,GP45,45,31.066862199999999,-119.021325959999999
111,,,GO41,111,31.066944509999999,-119.502912789999996
310,,,GL30,310,31.080536960000000,-120.834686759999997
244,,,GM34,244,31.086226889999999,-120.353048229999999
178,,,GN38,178,31.089829150000000,-119.871354629999999
46,,,GP46,46,31.090769900000002,-118.907901190000004
112,,,GO42,112,31.091343519999999,-119.389630699999998
311,,,GL31,311,31.106290659999999,-120.721795830000005
245,,,GM35,245,31.111490700000001,-120.239998499999999
47,,,GP47,47,31.114560640000001,-118.794409819999998
179,,,GN39,179,31.114602489999999,-119.758151880000000
113,,,GO43,113,31.115625820000002,-119.276280720000003
378,,,GK28,378,31.125129909999998,-121.090720050000002
312,,,GL32,312,31.131928330000001,-120.608833469999993
246,,,GM36,246,31.136638219999998,-120.126878599999998
48,,,GP48,48,31.138234340000000,-118.680852110000004
180,,,GN40,180,31.139259270000000,-119.644880220000005
114,,,GO44,114,31.139791330000001,-119.162863119999997
379,,,GK29,379,31.151141270000000,-120.977848559999998
313,,,GL33,313,31.157449880000001,-120.495799930000004
247,,,GM37,247,31.161669360000001,-120.013688779999995
49,,,GP49,49,31.161790929999999,-118.567228340000000
181,,,GN41,181,31.163799430000001,-119.531539920000000
115,,,GO45,115,31.163839960000001,-119.049378160000003
380,,,GK30,380,31.177036699999999,-120.864904879999997
314,,,GL34,314,31.182855239999999,-120.382695450000000
50,,,GP50,50,31.185230319999999,-118.453538769999994
248,,,GM38,248,31.186584050000000,-119.900429290000005
116,,,GO46,116,31.187771630000000,-118.935826100000000
182,,,GN42,182,31.188222880000001,-119.418131230000000
447,,,GJ27,447,31.195397910000001,-121.234182460000000
381,,,GK31,381,31.202816100000000,-120.751889270000007
315,,,GL35,315,31.208144310000002,-120.269520299999996
51,,,GP51,51,31.208552420000000,-118.339783670000003
249,,,GM39,249,31.211382189999998,-119.787100400000000
117,,,GO47,117,31.211586250000000,-118.822207210000002
183,,,GN43,183,31.212529530000001,-119.304654409999998
448,,,GJ28,448,31.221551190000000,-121.121259219999999
382,,,GK32,382,31.228479400000001,-120.638801970000003
52,,,GP52,52,31.231757170000002,-118.225963309999997
316,,,GL36,316,31.233317010000000,-120.156274730000007
118,,,GO48,118,31.235283750000001,-118.708521759999996
250,,,GM40,250,31.236063699999999,-119.673702359999993
184,,,GN44,184,31.236719290000000,-119.191109740000002
449,,,GJ29,449,31.247588539999999,-121.008263299999996
383,,,GK33,383,31.254026499999998,-120.525643250000002
53,,,GP53,53,31.254844469999998,-118.112077959999993
317,,,GL37,317,31.258373240000001,-120.042958999999996
119,,,GO49,119,31.258864039999999,-118.594769999999997
251,,,GM41,251,31.260628489999998,-119.560235430000006
185,,,GN45,185,31.260792089999999,-119.077497460000004
450,,,GJ30,450,31.273509879999999,-120.895194939999996
54,,,GP54,54,31.277814240000001,-117.998127879999998
384,,,GK34,384,31.279457319999999,-120.412413349999994
120,,,GO50,120,31.282327039999998,-118.480952209999998
318,,,GL38,318,31.283312930000001,-119.929573349999998
186,,,GN46,186,31.284747840000001,-118.963817849999998
252,,,GM42,252,31.285076480000001,-119.446699879999997
517,,,GI27,517,31.291766410000001,-121.264918739999999
451,,,GJ31,451,31.299315119999999,-120.782054389999999
55,,,GP55,55,31.300666410000002,-117.884113369999994
385,,,GK35,385,31.304771760000001,-120.299112519999994
121,,,GO51,121,31.305672670000000,-118.367068660000001
319,,,GL39,319,31.308135990000000,-119.816118059999994
187,,,GN47,187,31.308586460000001,-118.850071180000000
253,,,GM43,253,31.309407589999999,-119.333095959999994
518,,,GI28,518,31.317945880000000,-121.151871080000006
56,,,GP56,56,31.323400889999998,-117.770034679999995
452,,,GJ32,452,31.325004159999999,-120.668841909999998
122,,,GO52,122,31.328900850000000,-118.253119620000007
386,,,GK36,386,31.329969750000000,-120.185741030000003
188,,,GN48,188,31.332307870000001,-118.736257699999996
320,,,GL40,320,31.332842329999998,-119.702593379999996
254,,,GM44,254,31.333621720000000,-119.219423950000007
519,,,GI29,519,31.344009350000000,-121.038750469999997
57,,,GP57,57,31.346017610000001,-117.655892089999995
453,,,GJ33,453,31.350576920000002,-120.555557750000006
123,,,GO53,123,31.352011489999999,-118.139105360000002
387,,,GK37,387,31.355051190000001,-120.072299119999997
189,,,GN49,189,31.355911970000001,-118.622377689999993
321,,,GL41,321,31.357431869999999,-119.588999569999999
255,,,GM45,255,31.357718800000001,-119.105684089999997
586,,,GH26,586,31.361786609999999,-121.408827119999998
58,,,GP58,58,31.368516490000001,-117.541685889999997
520,,,GI30,520,31.369956720000001,-120.925557179999998
124,,,GO54,124,31.375004510000000,-118.025026159999996
454,,,GJ34,454,31.376033310000000,-120.442202159999994
190,,,GN50,190,31.379398689999999,-118.508431419999994
388,,,GK38,388,31.380016000000001,-119.958787070000000
256,,,GM46,256,31.381698750000002,-118.991876669999996
322,,,GL42,322,31.381904519999999,-119.475336900000002
587,,,GH27,587,31.388108389999999,-121.295728220000001
59,,,GP59,59,31.390897440000000,-117.427416339999994
521,,,GI31,521,31.395787899999998,-120.812291450000004
125,,,GO55,125,31.397879840000002,-117.910882270000002
455,,,GJ35,455,31.401373249999999,-120.328775399999998
191,,,GN51,191,31.402767959999998,-118.394419150000004
389,,,GK39,389,31.404864100000001,-119.845205120000003
257,,,GM47,257,31.405561469999999,-118.878001940000004
323,,,GL43,323,31.406260199999998,-119.361605620000006
60,,,GP60,60,31.413160380000001,-117.313083719999995
588,,,GH28,588,31.414314180000002,-121.182555870000002
126,,,GO56,126,31.420637390000000,-117.796673990000002
522,,,GI32,522,31.421502799999999,-120.698953529999997
192,,,GN52,192,31.426019669999999,-118.280341160000006
456,,,GJ36,456,31.426596650000000,-120.215277729999997
258,,,GM48,258,31.429306889999999,-118.764060180000001
390,,,GK40,390,31.429595379999999,-119.731553539999993
324,,,GL44,324,31.430498820000000,-119.247805999999997
655,,,GG25,655,31.431611459999999,-121.552984330000001
61,,,GP61,61,31.435305249999999,-117.198688309999994
589,,,GH29,589,31.440403870000001,-121.069310340000001
127,,,GO57,127,31.443277080000001,-117.682401589999998
523,,,GI33,523,31.447101340000000,-120.585543680000001
193,,,GN53,193,31.449153760000002,-118.166197720000000
457,,,GJ37,457,31.451703410000000,-120.101709400000004
259,,,GM49,259,31.452934920000001,-118.650051649999995
391,,,GK41,391,31.454209779999999,-119.617832579999998
325,,,GL45,325,31.454620290000001,-119.133938299999997
62,,,GP62,62,31.457331950000000,-117.084230399999996
656,,,GG26,656,31.458075749999999,-121.439834710000000
128,,,GO58,128,31.465798830000001,-117.568065340000004
590,,,GH30,590,31.466377390000002,-120.955991859999997
194,,,GN54,194,31.472170139999999,-118.051989100000000
524,,,GI34,524,31.472583430000000,-120.472062149999999
260,,,GM50,260,31.476445470000002,-118.535976620000000
458,,,GJ38,458,31.476693460000000,-119.988070669999999
326,,,GL46,326,31.478624539999998,-119.020002800000000
392,,,GK42,392,31.478707199999999,-119.504042519999999
63,,,GP63,63,31.479240409999999,-116.969710259999999
657,,,GG27,657,31.484424050000001,-121.326611139999997
129,,,GO59,129,31.488202560000001,-117.453665509999993
591,,,GH31,591,31.492234629999999,-120.842600689999998
195,,,GN55,195,31.495068730000000,-117.937715580000003
525,,,GI35,525,31.497948969999999,-120.358509209999994
261,,,GM51,261,31.499838480000001,-118.421835360000003
64,,,GP64,64,31.501030549999999,-116.855128179999994
459,,,GJ39,459,31.501566700000001,-119.874361809999996
327,,,GL47,327,31.502511479999999,-118.905999750000007
393,,,GK43,393,31.503087570000002,-119.390183609999994
130,,,GO60,130,31.510488190000000,-117.339202400000005
658,,,GG28,658,31.510656269999998,-121.213313869999993
196,,,GN56,196,31.517849450000000,-117.823377429999994
592,,,GH32,592,31.517975520000000,-120.729137080000001
65,,,GP65,65,31.522702299999999,-116.740484440000003
262,,,GM52,262,31.523113840000001,-118.307628149999999
526,,,GI36,526,31.523197889999999,-120.244885100000005
328,,,GL48,328,31.526281019999999,-118.791929429999996
460,,,GJ40,460,31.526323049999998,-119.760583060000002
394,,,GK44,394,31.527350779999999,-119.276256119999999
725,,,GF25,725,31.527847630000000,-121.584190530000001
131,,,GO61,131,31.532655649999999,-117.224676279999997
659,,,GG29,659,31.536772320000001,-121.099943139999993
197,,,GN57,197,31.540512209999999,-117.708974929999997
593,,,GH33,593,31.543599950000001,-120.615601280000007
66,,,GP66,66,31.544255580000002,-116.625779320000007
263,,,GM53,263,31.546271489999999,-118.193355249999996
527,,,GI37,527,31.548330090000000,-120.131190079999996
329,,,GL49,329,31.549933079999999,-118.677792109999999
461,,,GJ41,461,31.550962420000001,-119.646734699999996
395,,,GK45,395,31.551496759999999,-119.162260309999994
726,,,GF26,726,31.554338640000001,-121.470916239999994
132,,,GO62,132,31.554704839999999,-117.110087429999993
660,,,GG30,660,31.562772100000000,-120.986499230000007
198,,,GN58,198,31.563056950000000,-117.594508349999998
67,,,GP67,67,31.565690300000000,-116.511013109999993
